requester,reward
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
VacationRentalAPI CA,7.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
VacationRentalAPI CA,7.50
VacationRentalAPI CA,2.50
VacationRentalAPI,4.90
Crowdsurf Support,0.02
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
SEO BrainTrust,0.45
WELL Labs,1.50
VacationRentalAPI CA,3.15
Rammy Salem,0.25
WELL Labs,1.50
UXreviewer.io,0.26
str11223344,0.08
WELL Labs,1.50
Jwala Dhamala,0.06
WELL Labs,1.50
WELL Labs,1.50
Jennifer Kowalsky,2.00
WELL Labs,1.50
VacationRentalAPI CA,2.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,4.00
SEO BrainTrust,0.60
VacationRentalAPI CA,6.00
VacationRentalAPI,2.00
VacationRentalAPI CA,3.15
Jwala Dhamala,0.06
VacationRentalAPI,6.00
VacationRentalAPI,4.00
WELL Labs,1.50
str11223344,0.10
VacationRentalAPI CA,4.90
VacationRentalAPI,3.15
Bhavya,0.90
WELL Labs,1.50
VacationRentalAPI CA,7.50
VacationRentalAPI CA,3.15
VacationRentalAPI CA,7.50
VacationRentalAPI,2.00
WELL Labs,1.50
VacationRentalAPI CA,6.00
Bhavya,0.90
str11223344,0.08
Shahyaan Adil,0.25
Jwala Dhamala,0.06
VacationRentalAPI,7.50
jmparent,4.00
rin95923,1.30
VacationRentalAPI CA,7.50
VacationRentalAPI CA,7.50
VacationRentalAPI CA,7.50
Shopping Receipts,0.21
Shopping Receipts,0.03
yang,0.03
VacationRentalAPI CA,2.00
VacationRentalAPI CA,4.90
MTMTAnnotation,0.20
str11223344,0.08
VacationRentalAPI CA,4.90
VacationRentalAPI CA,7.50
VacationRentalAPI CA,7.50
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.00
VacationRentalAPI,2.00
Brex,0.01
VacationRentalAPI CA,2.50
VacationRentalAPI CA,2.50
VacationRentalAPI CA,4.00
Crowdsurf Support,0.18
Crowdsurf Support,0.21
Georgina Smith,0.10
Justin Thacker,0.05
VacationRentalAPI,3.15
VacationRentalAPI CA,4.00
GoComet,0.02
Michael Wenzel,1.50
Jennifer Kowalsky,2.00
VacationRentalAPI CA,7.50
BIU NLP,0.20
serendipity,0.30
Crowdsurf Support,0.17
Nathaniel Daw,3.25
Shopping Receipts,0.01
VacationRentalAPI,6.00
Shahyaan Adil,0.25
Talib,9.00
Rammy Salem,1.75
VacationRentalAPI CA,2.00
VacationRentalAPI CA,7.50
VacationRentalAPI CA,2.50
Shopping Receipts,0.05
Jennifer Kowalsky,2.00
yang,0.05
Emanuele Castano,1.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,2.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,4.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,4.90
VacationRentalAPI,4.00
Crowdsurf Support,0.20
WELL Labs,1.50
Shopping Receipts,0.06
PFT,0.10
Vojta B,2.00
BIU NLP,0.90
Jennifer Kowalsky,2.00
Chris Egger,0.50
Amazon Requester Inc. - Tamale,0.03
VacationRentalAPI CA,4.90
VacationRentalAPI CA,4.90
VacationRentalAPI CA,4.90
VacationRentalAPI CA,3.15
Derek Mitchell,8.00
Vojta B,2.00
str11223344,0.08
Jennifer Kowalsky,2.00
Kokil Jaidka,1.50
VacationRentalAPI CA,2.00
VacationRentalAPI CA,7.50
VacationRentalAPI CA,6.00
VacationRentalAPI CA,4.00
VacationRentalAPI CA,4.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,6.00
UCL-WI,0.10
Yolanda_scholarly1920,2.00
Shopping Receipts,0.09
Vojta B,1.00
yang,0.05
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
Hedy,0.20
Richard Wagner,1.00
Annotate4Me,0.20
VacationRentalAPI CA,4.90
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.90
VacationRentalAPI CA,2.00
VacationRentalAPI CA,2.00
VacationRentalAPI CA,4.90
VacationRentalAPI CA,3.15
VacationRentalAPI CA,2.50
VacationRentalAPI CA,6.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,6.00
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,2.00
mturk-b2c-prod,0.05
VacationRentalAPI,2.00
HUGC,0.05
Crowdsurf Support,0.17
Shopping Receipts,0.12
Shopping Receipts,0.04
Jgalley,5.95
Vojta B,1.00
Vojta B,1.00
yang,0.05
yang,0.05
WELL Labs,1.50
WELL Labs,1.50
Rammy Salem,1.75
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.90
VacationRentalAPI CA,4.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,2.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,2.50
VacationRentalAPI CA,4.00
VacationRentalAPI CA,3.15
VacationRentalAPI,2.00
VacationRentalAPI,4.90
VacationRentalAPI,2.00
VacationRentalAPI,4.90
Centre de Visió per Computador,0.05
WELL Labs,1.50
Amazon Requester Inc. - Retail Business Services,0.05
Shopping Receipts,0.26
WELL Labs,1.50
PFT,0.08
PFT,0.09
str11223344,0.08
nsharma,2.50
Columbia DPML,15.00
FLAIR,0.30
Columbia DPML,15.00
WELL Labs,1.50
AudioKite,0.27
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
Simon,1.00
Musicbed,0.50
Dynamic Decision Making Laboratory,1.00
Jwala Dhamala,0.06
Yuexi Du,2.00
andrew scherer,0.15
VacationRentalAPI CA,6.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,2.50
VacationRentalAPI CA,4.90
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,2.50
VacationRentalAPI CA,7.50
VacationRentalAPI CA,4.90
VacationRentalAPI CA,4.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,3.15
VacationRentalAPI CA,2.00
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,2.50
VacationRentalAPI CA,4.00
VacationRentalAPI CA,4.00
VacationRentalAPI CA,6.00
VacationRentalAPI,2.00
VacationRentalAPI,2.00
VacationRentalAPI,6.00
joseph pfeffer,0.01
Brex,0.01
Foxtrot,0.35
Foxtrot,0.05
Björn Plüster,0.65
Shopping Receipts,0.16
Shopping Receipts,0.07
Jgalley,3.01
Shopping Receipts,0.02
Antonio Rodríguez,0.03
Cornell HRI Lab,3.50
zhou yu,0.05
Cornell HRI Lab,10.00
PsychLab,1.00
CMU HCII SLab,1.50
CMU HCII SLab,1.50
DONDE COQUELET CLEMENT,0.20
UserBob,0.75
UserBob,0.75
UserBob,3.30
UserBob,2.80
UserBob,0.75
UserBob,8.00
UserBob,8.00
UserBob,8.00
UserBob,4.80
Cornell HRI Lab,2.00
UserBob,0.05
Cornell HRI Lab,3.61
Cornell HRI Lab,3.45
Cornell HRI Lab,2.75
niv,4.00
DONDE COQUELET CLEMENT,0.20
'Dr. Schulte''s Research Lab',1.00
Arne Weigold,3.00
Chendan Qi,0.02
Alper Alan,0.20
KHebertTrent,0.50
Pei-Hsuan Hsieh,0.50
KHebertTrent,0.50
Pei-Hsuan Hsieh,0.50
Pei-Hsuan Hsieh,0.50
ARRC,2.50
Safiye Tozdan,0.15
Elizabeth Harvey,4.00
Elizabeth Harvey,4.00
yang,0.05
Rebekah Moore,2.75
yang,0.05
Elizabeth Harvey,4.00
Rctm,0.50
Vandy JDM Lab,1.25
Aishat,0.80
VV Research Lab,0.75
Jason,0.60
Karly A. Cochran,2.50
Aparna,0.08
MAD Lab,3.00
MAD Lab,3.00
MAD Lab,3.00
MAD Lab,3.00
MAD Lab,3.00
MAD Lab,3.00
MAD Lab,3.00
MAD Lab,3.00
MAD Lab,3.00
Giselle Jimenez,2.00
Erin M Buchanan,4.00
JGU_socpsy,5.00
Kokil Jaidka,1.50
Elizabeth Harvey,0.02
FLAIR,0.30
FLAIR,0.30
FLAIR,0.40
FLAIR,1.60
Elizabeth Harvey,4.00
Elizabeth Harvey,4.00
JonathanClarkKing,0.75
Schacter Lab,10.00
Elizabeth Harvey,4.00
FLAIR,0.50
FLAIR,0.30
FLAIR,0.30
Matthew king-parker,0.50
Elizabeth Harvey,4.00
SurveyComet,0.05
FLAIR,0.38
FLAIR,0.38
FLAIR,0.30
FLAIR,0.85
Steve Discont - IIT Psychology,2.00
Steve Discont - IIT Psychology,2.00
Bhavya,1.30
WELL Labs,1.50
WELL Labs,1.50
Poznań University of Economics and Business,0.01
FLAIR,0.67
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
EMA Validation,0.50
WELL Labs,1.50
WELL Labs,1.50
Elizabeth Harvey,0.05
FLAIR,2.00
LBC-SNC lab,1.00
S Lopez,0.30
Daniel Feingold- Ariel University,2.00
Elizabeth Harvey,4.00
CFCresearch,1.00
Meijing Zhang,1.50
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,3.00
IC3 AI team,2.00
WELL Labs,1.50
WELL Labs,1.50
Jiani,0.55
WELL Labs,1.50
WELL Labs,1.50
AudioKite,0.20
Linda Dam,0.50
Rammy Salem,1.75
WELL Labs,1.50
GenQA Requester,0.33
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
Bruce R. Douglas,0.02
WELL Labs,1.50
Short Stays,0.50
Wonchan Choi,2.00
VisionLearning,0.05
WELL Labs,1.50
WELL Labs,1.50
Alain Bard,0.22
WELL Labs,1.50
WELL Labs,1.50
Madisen,0.01
EJ,0.01
Valdemara Urboniene,0.01
Valdemara Urboniene,0.01
WELL Labs,4.50
Elizabeth Harvey,4.00
WELL Labs,1.50
casia krzyston,0.01
Kirsten Cornelson,0.75
JonathanClarkKing,0.75
Erno,2.00
Musicbed,0.54
K - Research,0.75
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
WELL Labs,4.50
Madisen,1.50
Consumer Opinion Studies,0.70
WELL Labs,1.50
WELL Labs,1.50
Elizabeth Harvey,4.00
WELL Labs,1.50
Elizabeth Harvey,0.05
ProductPinion,0.15
Noke Tipgomut,3.00
Connor Forsythe,0.01
Dron M. Mandhana,2.50
GHS Research,0.70
OWU-TM,0.75
Market Access Ada Health,9.50
Andrea Sestino,0.02
Patrick Walsh,2.00
Eric Allard,5.00
emilmirzayev,2.00
Sourabh,5.00
VacationRentalAPI CA,4.90
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.00
VacationRentalAPI CA,2.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,4.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,4.00
VacationRentalAPI CA,4.90
VacationRentalAPI CA,6.00
VacationRentalAPI CA,4.90
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,6.00
VacationRentalAPI CA,4.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,2.50
VacationRentalAPI CA,6.00
VacationRentalAPI CA,2.00
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.90
VacationRentalAPI CA,4.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,2.00
VacationRentalAPI CA,4.90
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.90
VacationRentalAPI CA,4.00
VacationRentalAPI CA,6.00
VacationRentalAPI CA,2.00
VacationRentalAPI CA,4.90
VacationRentalAPI CA,2.50
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.90
VacationRentalAPI CA,2.00
VacationRentalAPI CA,3.15
VacationRentalAPI CA,4.90
Abread,0.50
Sean Flynn,1.25
Khaled Ibrahim,0.50
Udaykiran Konka,1.00
JAIME MCDONALD,0.01
Jwala Dhamala,0.06
Kristin Smith-Crowe,0.70
Binary City Ltd.,10.00
Binary City Ltd.,10.00
Jessica Clevering,1.50
yang,0.05
jefffe,0.01
VacationRentalAPI,6.00
VacationRentalAPI,4.00
VacationRentalAPI,6.00
WELL Labs,1.50
WELL Labs,1.50
Andrea Sestino,0.02
Narrative.lab,4.00
TURNER PHILLIP MANUEL,0.05
QA Research,0.15
Julius G,1.50
Shopping Receipts,0.31
henry,0.01
HUGC,0.05
Sean Flynn,1.25
brittany,0.01
joseph pfeffer,0.01
henry,0.01
brittany,0.01
Harris,0.01
Jessica Zhou,0.50
Nick Bradley,25.00
stanford_nlp_jurafsky,0.15
AIIR MTurk,3.00
Misty C Duke,0.10
liaepflturk,1.20
sdkn,0.01
WELL Labs,1.50
WELL Labs,1.50
WELL Labs,1.50
MAD Lab,3.00
Amazon Requester Inc. - Retail Business Services,0.05
WELL Labs,1.50
Konstantin,4.01
UofInnsbruckStudies,2.00
UofInnsbruckStudies,2.00
Foxtrot,0.23
Foxtrot,0.09
Erno,2.00
A,0.18
TINA MARIE ROYLE,0.01
Narrative.lab,2.40
bmelusky,0.50
Anne B Duran,0.25
Anne B Duran,0.25
Anne B Duran,0.25
IC3 AI team,5.00
IC3 AI team,5.00
Trial By Data,100.00
MAD Lab,3.00
MAD Lab,3.00
WELL Labs,1.50
Ethan Porter,1.00
WELL Labs,1.50
MAD Lab,3.00
MAD Lab,3.00
Ashley,1.00
Ashley,1.00
Narrative.lab,4.00
Sarah Lageson,0.05
Sarah Lageson,0.05
Sarah Lageson,0.05
Erno,2.00
Shopping Receipts,0.03
ProductPinion,0.15
ProductPinion,0.15
ProductPinion,0.15
ProductPinion,0.10
Shopping Receipts,0.03
