yearOfBirth;householdIncome;workerId;hitCreationDate;gender;date;householdSize;maritalStatus
1972;$60,000-$74,999;91f9bc66f32c54e15514f6608f6d9d70;2016-11-21T13:55:11.000Z;female;2016-11-21T14:05:08.696Z;3;married
1980;$25,000-$39,999;60f758876cbcb45be951a217f94ee781;2016-11-21T13:40:10.000Z;female;2016-11-21T14:01:35.410Z;4;married
1983;$100,000 or more;05c67c4cb267507df452f67d459dcfc5;2016-11-21T11:40:12.000Z;male;2016-11-21T13:55:43.477Z;2;married
1983;$75,000-$99,999;aa1fe5afc31a1768f06a87ed7bbbcf9d;2016-11-21T12:55:12.000Z;male;2016-11-21T13:31:52.409Z;2;cohabitating
1963;$75,000-$99,999;0993fc6c4502a298a4d4bd280b87f3a6;2016-11-21T13:25:12.000Z;female;2016-11-21T13:27:56.463Z;3;married
1983;$40,000-$59,999;34a669e2a781123a8a8905e0515d17d0;2016-11-21T13:10:11.000Z;male;2016-11-21T13:26:06.941Z;2;single
1983;$75,000-$99,999;c73962bce39a35260d8ff6af86917338;2016-11-21T11:25:11.000Z;female;2016-11-21T13:22:39.665Z;5+;married
1970;$100,000 or more;d8f8d17bce1282cf67bd50f7eb9a19a8;2016-11-21T12:10:12.000Z;male;2016-11-21T13:18:08.242Z;2;married
1983;$25,000-$39,999;6cb74598ef176e994d6b6197b6ff34f9;2016-11-21T12:25:12.000Z;male;2016-11-21T13:11:49.346Z;1;single
1986;Less than $10,000;cecd8eb34d833808c3eb8246114f1c3d;2016-11-21T11:55:12.000Z;male;2016-11-21T12:42:31.530Z;1;divorced
1968;$40,000-$59,999;8157764ad471cf443b85c833d039390f;2016-11-21T11:10:11.000Z;female;2016-11-21T11:56:08.210Z;2;married
1970;$40,000-$59,999;5d084b2e872a5b1094ecc73c5c1f1fbd;2016-11-21T10:55:12.000Z;male;2016-11-21T11:14:10.206Z;5+;married
1992;Less than $10,000;e8e429f5c22a13535e3de784dd2b840d;2016-11-21T10:40:16.000Z;male;2016-11-21T10:58:36.111Z;2;single
1984;$75,000-$99,999;f14929c94bdd4d2d8c381f6352c747a5;2016-11-21T10:25:13.000Z;female;2016-11-21T10:44:18.577Z;2;married
1983;$15,000-$24,999;2f78fc62fa7c0751776991010210fcdd;2016-11-21T10:10:13.000Z;male;2016-11-21T10:26:17.260Z;3;single
1962;Less than $10,000;22ee44b25757d856fa07a1f3a7ec1f26;2016-11-21T09:10:14.000Z;female;2016-11-21T10:25:24.020Z;1;single
1981;Less than $10,000;95da2d3ef8734919f702244271104b21;2016-11-21T09:40:15.000Z;male;2016-11-21T10:08:00.728Z;2;engaged
1980;Less than $10,000;7d2298ceaebcbcd5fd3afa18329614e2;2016-11-21T09:55:12.000Z;male;2016-11-21T09:59:36.689Z;4;married
1996;$10,000-$14,999;253d8a0579971aa874f5e2c16a8c25af;;male;2016-11-21T09:47:32.991Z;4;single
1996;$10,000-$14,999;253d8a0579971aa874f5e2c16a8c25af;2016-11-21T09:25:13.000Z;male;2016-11-21T09:47:32.938Z;4;single
1980;$10,000-$14,999;b5dc717d9945a468fb14ae696303ef49;2016-11-21T08:55:11.000Z;female;2016-11-21T09:44:45.268Z;4;married
1985;Less than $10,000;b2eb9a410e941c1325823ecbceaef077;2016-11-21T08:25:13.000Z;male;2016-11-21T09:22:55.790Z;4;single
1985;Less than $10,000;b2eb9a410e941c1325823ecbceaef077;;male;2016-11-21T09:22:55.697Z;4;single
1995;Less than $10,000;23be1c324ca7850ee31aa93406d09809;2016-11-21T08:40:12.000Z;male;2016-11-21T08:49:48.123Z;1;single
1986;$40,000-$59,999;1faa39997620ef375d6b28dc359b8fc9;2016-11-21T08:10:13.000Z;male;2016-11-21T08:10:49.810Z;2;cohabitating
1978;$100,000 or more;251f8c4e15a3e9316abc404f1f34d696;2016-11-21T07:55:13.000Z;male;2016-11-21T08:09:30.704Z;5+;married
1995;$10,000-$14,999;3d5d4da40bc6b8a1d2839603c47de64b;2016-11-21T07:40:19.000Z;female;2016-11-21T08:04:06.156Z;2;cohabitating
1993;$25,000-$39,999;7c75b50d40efaf9fe739e18b6af3dfd5;2016-11-21T07:25:13.000Z;male;2016-11-21T07:55:40.350Z;2;cohabitating
1986;$75,000-$99,999;bd3e2e1f99ba09519e73acb6bc8d26ff;2016-11-21T06:25:17.000Z;male;2016-11-21T07:27:43.550Z;2;single
1996;$100,000 or more;02a5f63615c36b61550189e92a02657b;2016-11-21T06:55:11.000Z;female;2016-11-21T07:23:46.724Z;3;single
1995;$15,000-$24,999;cc0de6ecd09ea3cd6c42364e03158d60;2016-11-21T07:10:13.000Z;male;2016-11-21T07:20:55.939Z;3;single
1976;$75,000-$99,999;66f7eb98a174c126874cf4216018af90;2016-11-21T06:40:34.000Z;female;2016-11-21T07:12:31.797Z;4;married
1984;$60,000-$74,999;1c67b8f4dd521d57757657253d0f7582;2016-11-21T06:10:19.000Z;male;2016-11-21T06:10:54.156Z;3;married
1986;$40,000-$59,999;b4548ec92e672830eb3da9a2d44b17ac;2016-11-21T05:55:16.000Z;female;2016-11-21T05:56:23.185Z;2;cohabitating
1984;$15,000-$24,999;ed4daa4622f39837711b2ff39d2b5a68;2016-11-21T05:40:17.000Z;female;2016-11-21T05:43:52.392Z;4;married
1985;$10,000-$14,999;0dca93da78ece99662835e79d5abbdf5;2016-11-21T05:10:15.000Z;female;2016-11-21T05:34:07.894Z;2;cohabitating
1957;$25,000-$39,999;251a80ffbe71f05049ba8975b31181d1;2016-11-21T05:25:15.000Z;female;2016-11-21T05:27:41.050Z;2;married
1957;$25,000-$39,999;251a80ffbe71f05049ba8975b31181d1;;female;2016-11-21T05:27:39.561Z;2;married
1965;$60,000-$74,999;7fba17208c791817052d10e4b982f3b6;2016-11-21T04:55:16.000Z;male;2016-11-21T04:57:31.066Z;3;cohabitating
1992;$25,000-$39,999;1ab22a2c211ae9470d28d87a791d8126;2016-11-21T04:25:12.000Z;male;2016-11-21T04:48:23.634Z;2;single
1991;$25,000-$39,999;a4769070e3cee50b0fd30fc0a966b1d9;2016-11-21T04:40:15.000Z;male;2016-11-21T04:41:58.125Z;3;single
1978;$10,000-$14,999;2e0b83ed7961d17b05b80e89fff63d91;2016-11-21T04:10:10.000Z;male;2016-11-21T04:15:00.679Z;2;cohabitating
1992;$100,000 or more;af3a796415f022059e39854cc80fb4bd;2016-11-21T03:55:13.000Z;female;2016-11-21T03:57:07.037Z;4;single
1981;$40,000-$59,999;54ba6742f7cab939b570fd9c1cc2fc24;2016-11-21T03:40:09.000Z;female;2016-11-21T03:41:06.730Z;3;married
1996;$100,000 or more;8f7943049bc8b695885f0ab3b963cfce;2016-11-21T03:25:15.000Z;female;2016-11-21T03:31:02.859Z;4;single
1972;$100,000 or more;6f9603ea2f1646a73aafbe1243dff383;2016-11-21T02:55:09.000Z;male;2016-11-21T03:25:05.883Z;3;married
1995;Less than $10,000;93a276877b7d6a686cc2be9409c8f24f;2016-11-21T03:10:11.000Z;male;2016-11-21T03:23:01.994Z;5+;single
1996;$40,000-$59,999;0331bb0ccc31cd362f04b6f15b860caa;2016-11-21T02:40:10.000Z;female;2016-11-21T02:41:06.185Z;2;single
1994;$40,000-$59,999;8df90d59e5fae8012f3427479fbc34bb;2016-11-21T02:10:11.000Z;female;2016-11-21T02:28:24.190Z;3;cohabitating
1981;$100,000 or more;fb0995e32c21ebca584ca5064829a926;2016-11-21T02:25:11.000Z;female;2016-11-21T02:28:02.106Z;5+;married
1985;$25,000-$39,999;c224f9a603456ba662e4a02bc51e2f79;2016-11-21T01:55:10.000Z;male;2016-11-21T01:58:33.401Z;1;single
1991;$25,000-$39,999;be0012fadb0da6d20d7e9c5a0c0959df;2016-11-21T01:10:12.000Z;male;2016-11-21T01:50:04.274Z;4;engaged
1994;$40,000-$59,999;5dcb00a120bd2db2abbd99ea2ad5453a;2016-11-21T01:40:11.000Z;male;2016-11-21T01:43:17.656Z;5+;single
1981;Less than $10,000;1aafef32da0f466c0316625cb0bfb7a1;2016-11-21T01:25:12.000Z;male;2016-11-21T01:33:10.478Z;4;married
1965;$60,000-$74,999;cda07cb0830710a90f9378c7fa49c93d;2016-11-21T00:55:11.000Z;female;2016-11-21T01:02:44.859Z;2;married
1977;$15,000-$24,999;e7e6e14bc7373b0e93a9a0fc879b4d10;2016-11-21T00:40:14.000Z;female;2016-11-21T00:40:59.883Z;2;cohabitating
1971;$15,000-$24,999;07fe92ca1884504de0963351a10d4811;2016-11-21T00:25:16.000Z;male;2016-11-21T00:25:53.879Z;2;cohabitating
1981;$100,000 or more;67bb71b91307ec846dd28f1ef731ebcc;2016-11-21T00:10:14.000Z;female;2016-11-21T00:12:29.797Z;2;married
1986;$40,000-$59,999;b17ac6c602181c4e97ec3bc1e7b06f77;2016-11-20T23:55:40.000Z;male;2016-11-21T00:03:06.021Z;3;single
1989;$75,000-$99,999;4ef408d236ef60b7c8d7de6a91b27cc0;2016-11-20T22:10:11.000Z;male;2016-11-20T23:45:54.889Z;4;single
1988;$40,000-$59,999;c68c04dd5b8f3ac16171df0b2c966488;2016-11-20T23:25:10.000Z;male;2016-11-20T23:45:09.872Z;2;married
1989;$75,000-$99,999;b6e5d977e3f5e2996b082783e29efdfe;2016-11-20T23:40:14.000Z;male;2016-11-20T23:43:10.033Z;2;married
1995;$60,000-$74,999;4b38afc3a44e941d9633c5e83fdae844;2016-11-20T22:10:11.000Z;male;2016-11-20T23:42:53.452Z;3;single
1984;Less than $10,000;c604a3855c9733b41f6c820a5c96ad3f;2016-11-20T23:10:13.000Z;male;2016-11-20T23:39:26.449Z;3;married
1967;$100,000 or more;7f555b6aa0511e9d967481bf4da482a7;2016-11-20T22:40:14.000Z;male;2016-11-20T23:11:49.894Z;3;married
1979;$60,000-$74,999;542d728c52cd103e6de04cc7aa300a85;2016-11-20T22:55:10.000Z;female;2016-11-20T22:59:58.604Z;3;married
1982;$25,000-$39,999;9c439dd49fd16efd12c7cf35b9cdbed7;2016-11-20T21:10:11.000Z;male;2016-11-20T22:31:21.456Z;5+;married
1982;$40,000-$59,999;81cd5ec898920c65093f9fd352192ccd;2016-11-20T22:25:19.000Z;female;2016-11-20T22:30:54.970Z;1;single
1993;Less than $10,000;f1a52833a8dcec5c0702b427bc534bdd;2016-11-20T21:55:10.000Z;female;2016-11-20T22:25:09.248Z;3;single
1980;$75,000-$99,999;b163977761a2d171641334ab80e6db9a;2016-11-20T21:25:12.000Z;female;2016-11-20T22:12:23.969Z;4;married
1983;$100,000 or more;bb40fbe7ea17395c398f858771b66996;2016-11-20T20:25:14.000Z;male;2016-11-20T22:07:47.091Z;4;married
1986;$10,000-$14,999;f7885b8fb1e66197786a5dccae159f22;2016-11-20T21:40:12.000Z;female;2016-11-20T21:59:03.805Z;2;single
1970;$15,000-$24,999;b3c6aa905db11572aa82859aa1a9a6c9;2016-11-20T20:55:13.000Z;female;2016-11-20T21:08:23.969Z;1;divorced
1962;$40,000-$59,999;a44c5c2a33b7ef27be104811d1ad9917;2016-11-20T20:40:15.000Z;male;2016-11-20T20:40:59.729Z;5+;married
1990;Less than $10,000;01d8c87ee3521a26b9ad057aa94ba389;2016-11-20T20:10:15.000Z;male;2016-11-20T20:38:24.154Z;1;single
1981;Less than $10,000;b9d5457b87a1c9c6d2a4a377427314da;2016-11-20T19:55:16.000Z;female;2016-11-20T20:01:26.902Z;1;single
1973;$60,000-$74,999;ee8092a09ce2784d87d9adafbdd70083;2016-11-20T19:40:15.000Z;female;2016-11-20T19:41:51.225Z;1;single
1971;$25,000-$39,999;516a13d1d07e30b621bbd2c420a098ea;2016-11-20T19:25:15.000Z;female;2016-11-20T19:28:02.851Z;4;cohabitating
1991;$75,000-$99,999;461abaca350ec3e60b7d65494a9c881b;2016-11-20T19:10:13.000Z;male;2016-11-20T19:12:17.144Z;3;engaged
1991;$40,000-$59,999;3a5f9aa5564b64b951ea9096db57ce65;2016-11-20T18:40:17.000Z;male;2016-11-20T19:04:23.438Z;1;single
1992;$100,000 or more;1ffe7b278b04b745ad1ca5139a2b0096;2016-11-20T18:55:17.000Z;male;2016-11-20T18:59:35.710Z;3;divorced
1986;$25,000-$39,999;659b4986643bdf02600fe52cb3f3f686;2016-11-20T18:25:19.000Z;female;2016-11-20T18:27:22.736Z;4;married
1986;$100,000 or more;fb2879c0f8af0f22a874e63783380abd;2016-11-20T18:10:16.000Z;male;2016-11-20T18:16:59.696Z;3;married
1986;$25,000-$39,999;13b22fa01d6607b0a262c9f76e4e76ae;2016-11-20T17:55:18.000Z;female;2016-11-20T18:05:44.638Z;3;married
1981;$25,000-$39,999;c60f29f0fa736906b67a5ba29b4314c0;2016-11-20T04:55:15.000Z;male;2016-11-20T17:51:47.543Z;1;single
1992;$75,000-$99,999;6f8d0e4405666fb63542deb3a21d7a46;2016-11-20T17:40:16.000Z;male;2016-11-20T17:43:05.035Z;1;single
1960;$40,000-$59,999;a797041d64ea62bf574bd1f07b7755af;2016-11-20T14:25:16.000Z;male;2016-11-20T17:37:01.720Z;4;married
1974;$40,000-$59,999;2c8084d61e8230bb7655dfff4d78cdda;2016-11-20T17:25:16.000Z;female;2016-11-20T17:30:40.107Z;4;married
1983;$15,000-$24,999;04faf6cbc987ef501834d24191d6eb56;2016-11-20T16:25:18.000Z;male;2016-11-20T17:30:19.508Z;2;engaged
1961;$40,000-$59,999;b819683248580a261e7ae91f4a5a2a16;2016-11-20T17:10:15.000Z;female;2016-11-20T17:29:37.629Z;5+;divorced
1986;$100,000 or more;9e49fc7a8179773cd008f83fc4b2e319;2016-11-20T13:25:23.000Z;female;2016-11-20T17:29:33.523Z;5+;married
1991;$40,000-$59,999;7af019b114d6b96d5ca683f24b5ea033;2016-11-20T16:55:17.000Z;female;2016-11-20T17:29:13.108Z;2;married
1956;$60,000-$74,999;7a999367db0856bb3174a9bea5b6b120;2016-11-20T15:40:39.000Z;male;2016-11-20T17:28:52.655Z;2;married
1962;$75,000-$99,999;61e80f5c2c7b2a77dfe16abcf0063a73;2016-11-20T14:10:15.000Z;female;2016-11-20T17:28:11.239Z;4;married
1982;$100,000 or more;c7987a9375da194f51c10aa701b13d93;2016-11-20T16:10:47.000Z;female;2016-11-20T17:28:04.241Z;3;married
1983;$75,000-$99,999;43e69ce466328a6af053c0a90c8384a4;2016-11-20T16:40:17.000Z;male;2016-11-20T17:25:21.503Z;1;single
1988;$40,000-$59,999;8d77574b4cae4ec3f131b68f7634b9fd;2016-11-20T11:25:16.000Z;female;2016-11-20T17:10:34.852Z;2;married
1979;$25,000-$39,999;55ad9d5687ba1e804f6380949b8b24f3;2016-11-20T15:25:17.000Z;male;2016-11-20T16:44:05.690Z;1;single
1982;$25,000-$39,999;3ee130473a68a810fa64957e36500330;2016-11-20T13:55:14.000Z;female;2016-11-20T16:42:16.805Z;1;single
1972;$60,000-$74,999;b69694b1ca9991b152f340ccc6471289;2016-11-20T15:55:17.000Z;female;2016-11-20T16:41:33.560Z;3;married
1965;$25,000-$39,999;3ecd5b06d7a35a66e33c0b20afddc404;2016-11-20T10:25:20.000Z;male;2016-11-20T16:37:44.454Z;1;divorced
1982;$40,000-$59,999;63289cd775f5e42150235f9407da2a5f;2016-11-20T15:10:15.000Z;female;2016-11-20T16:30:45.126Z;3;cohabitating
1962;$75,000-$99,999;3e242dacb6b2145b1c3323a64f35fe8c;2016-11-20T14:40:12.000Z;female;2016-11-20T16:19:24.484Z;2;married
1981;$40,000-$59,999;74d0c18239e11a4a665f11cef4da2e7d;2016-11-20T14:55:12.000Z;female;2016-11-20T15:22:28.614Z;3;married
1984;$75,000-$99,999;fbf18da9d16458218c8f4f77ae7d98f0;2016-11-20T12:10:37.000Z;male;2016-11-20T15:16:13.106Z;3;single
1972;$75,000-$99,999;fa8ac73e522fd09f0f1409d897d650a1;2016-11-20T12:25:17.000Z;female;2016-11-20T15:13:28.358Z;2;married
1978;$75,000-$99,999;eef920b007d1321f95ab29dbd9b0bb64;2016-11-20T12:55:14.000Z;female;2016-11-20T15:03:54.619Z;4;married
1974;$100,000 or more;749143006dd406c28a483cd5ea99bcc3;2016-11-20T13:40:15.000Z;female;2016-11-20T14:58:52.443Z;4;married
1994;$15,000-$24,999;6932ca22ca4287983b7d6ced0e8233f0;;female;2016-11-20T14:36:09.070Z;1;single
1994;$15,000-$24,999;6932ca22ca4287983b7d6ced0e8233f0;2016-11-20T12:40:17.000Z;female;2016-11-20T14:36:08.164Z;1;single
1994;$15,000-$24,999;6932ca22ca4287983b7d6ced0e8233f0;;female;2016-11-20T14:36:07.862Z;1;single
1994;$15,000-$24,999;6932ca22ca4287983b7d6ced0e8233f0;;female;2016-11-20T14:36:07.668Z;1;single
1994;$15,000-$24,999;6932ca22ca4287983b7d6ced0e8233f0;;female;2016-11-20T14:36:05.868Z;1;single
1983;$15,000-$24,999;c832ccc5b6e3c8e519a3103981a1ae50;2016-11-20T07:10:15.000Z;female;2016-11-20T14:03:10.109Z;5+;cohabitating
1979;Less than $10,000;b22c8fce34d1bdd79d66240fa00ccb44;2016-11-20T13:10:17.000Z;female;2016-11-20T13:58:57.716Z;4;married
1990;$40,000-$59,999;bfbb712e9aff84df91b18bea48762e5b;2016-11-20T08:10:12.000Z;male;2016-11-20T13:24:56.827Z;2;married
1951;$100,000 or more;3384a021342b873529167a085b053c3d;2016-11-20T11:55:13.000Z;female;2016-11-20T13:12:54.152Z;4;married
1986;$60,000-$74,999;dc39d1ab9872f6cfc0c61aad9c22b73d;2016-11-20T06:40:13.000Z;male;2016-11-20T12:49:14.818Z;3;married
1988;$40,000-$59,999;7edb8f9f0e359f962a5775c64c027a45;2016-11-20T11:40:16.000Z;female;2016-11-20T12:40:34.913Z;4;single
1977;$100,000 or more;089ee5edfa5da7576c1babc5675707aa;2016-11-20T10:55:14.000Z;female;2016-11-20T12:20:26.826Z;3;married
1952;$40,000-$59,999;b85052028c0b96fa93fcbe07cacbcaf7;2016-11-20T11:10:14.000Z;male;2016-11-20T11:32:37.329Z;2;married
1961;$10,000-$14,999;0cbc7c61641755e029b7a6d3ac2404ea;2016-11-20T09:55:13.000Z;female;2016-11-20T11:32:33.090Z;1;divorced
1985;Less than $10,000;4f13203e13b9b0e29960a9a00f008028;2016-11-20T09:25:12.000Z;male;2016-11-20T10:56:37.528Z;2;married
1987;$10,000-$14,999;9575555e307f649482ad12f258f0b56b;2016-11-20T10:10:20.000Z;female;2016-11-20T10:54:08.774Z;4;single
1990;$25,000-$39,999;b1ec8251da9bd98e4d8ad07051c84059;2016-11-20T10:40:11.000Z;male;2016-11-20T10:44:40.957Z;4;single
1987;Less than $10,000;31b7ef56300a6327d30313985dc08467;2016-11-20T07:40:14.000Z;male;2016-11-20T10:09:07.700Z;2;cohabitating
1979;$40,000-$59,999;dbbed76e6f4774afaf56af212c6f7f0b;2016-11-20T09:40:13.000Z;female;2016-11-20T09:49:02.354Z;5+;married
1964;$25,000-$39,999;dd5ae67123b4d4395456b807564c6d72;2016-11-20T08:25:12.000Z;male;2016-11-20T09:41:22.859Z;3;married
1986;$40,000-$59,999;8aa9e18c7703e179d6f63fe4071c51b5;2016-11-20T08:55:13.000Z;male;2016-11-20T09:38:35.353Z;3;cohabitating
1983;$10,000-$14,999;dd64e3f955d56f7d2a17a51031f49632;2016-11-20T05:25:18.000Z;female;2016-11-20T09:28:12.879Z;3;married
1993;Less than $10,000;6077291512301359962f29ac0f857341;2016-11-20T09:10:11.000Z;male;2016-11-20T09:21:21.637Z;4;single
1988;$40,000-$59,999;796dd6fc710151094d2220e6b6111206;2016-11-20T07:55:09.000Z;female;2016-11-20T08:49:50.318Z;3;single
1980;Less than $10,000;25015bd4e9bbf4de234c0e11ab2755c2;2016-11-20T08:40:11.000Z;female;2016-11-20T08:44:09.804Z;2;cohabitating
1986;$75,000-$99,999;64e31c9def05dbb45b6e9aca2f4efb0c;2016-11-20T07:25:12.000Z;male;2016-11-20T08:25:40.399Z;2;cohabitating
1996;$10,000-$14,999;48e28bab4c9469ed13573dcd3908d889;2016-11-20T06:55:15.000Z;female;2016-11-20T07:02:38.719Z;3;single
1966;$25,000-$39,999;79937a2fa02bc860f53b4599dfd2d6ed;2016-11-20T06:10:24.000Z;female;2016-11-20T06:56:59.206Z;2;single
1968;$60,000-$74,999;1ce87e12ce522c067b8c65b8dc94b9f4;2016-11-20T05:10:16.000Z;female;2016-11-20T06:37:19.984Z;3;married
1973;$10,000-$14,999;d9f1882cec36d9e7cf60efcc8b8396e8;2016-11-20T05:40:14.000Z;female;2016-11-20T06:36:27.567Z;4;married
1990;Less than $10,000;43c7f5b28e7e4c59f7eb6b21564da04d;2016-11-20T06:25:12.000Z;male;2016-11-20T06:26:15.033Z;1;single
1979;$40,000-$59,999;841aacb08262e94ef948ada37633228b;2016-11-20T05:55:14.000Z;female;2016-11-20T06:21:57.227Z;3;single
1976;$75,000-$99,999;aef9826c06ff09737cc6d9631cfd286b;2016-11-20T04:10:17.000Z;male;2016-11-20T05:48:39.635Z;4;cohabitating
1984;Less than $10,000;04646dd87fc9e10819436026e3e82212;2016-11-20T03:55:15.000Z;male;2016-11-20T05:14:47.387Z;2;single
1981;$25,000-$39,999;379d6ed56df98e8147b961c696a08bd3;2016-11-20T04:40:15.000Z;male;2016-11-20T04:41:03.296Z;1;single
1982;$75,000-$99,999;013cf7cfaf8bec51fb1e318d9278d90f;2016-11-20T04:25:17.000Z;male;2016-11-20T04:31:13.485Z;3;married
1991;$60,000-$74,999;e09fd1926eccc20bd072402e2abac6b0;2016-11-20T03:40:16.000Z;female;2016-11-20T03:44:42.501Z;4;married
1984;$25,000-$39,999;71fb681299b3461e45e15bc58f7d7c16;2016-11-20T03:10:41.000Z;male;2016-11-20T03:32:03.572Z;3;cohabitating
1996;Less than $10,000;073aa106747ef8d8dc39b4d87b3163f5;2016-11-20T03:25:18.000Z;male;2016-11-20T03:28:17.087Z;1;single
1997;$100,000 or more;80ae52aee6aaefc5b1d9c4b10d5fbcce;2016-11-20T02:10:11.000Z;male;2016-11-20T03:20:37.873Z;4;single
1990;$25,000-$39,999;53db293af4cb5664b829821faf8a5f70;2016-11-20T02:55:10.000Z;male;2016-11-20T03:03:18.972Z;1;single
1986;$25,000-$39,999;9b04dd99d45174974c7d933856ed92c3;2016-11-20T02:40:11.000Z;female;2016-11-20T02:56:20.465Z;2;cohabitating
1986;$25,000-$39,999;9b04dd99d45174974c7d933856ed92c3;;female;2016-11-20T02:56:17.597Z;2;cohabitating
1981;$15,000-$24,999;c8f7ff0df01a0555b367c623ec5bd816;2016-11-20T01:40:13.000Z;female;2016-11-20T02:44:13.964Z;1;single
1987;$75,000-$99,999;5970f1d7605c73c63fc10672b33b7030;2016-11-20T02:25:11.000Z;female;2016-11-20T02:29:52.431Z;2;married
1985;$15,000-$24,999;dc0c2f5d611486164a4b73708df71b15;2016-11-20T01:55:12.000Z;male;2016-11-20T02:03:43.575Z;4;single
1990;$60,000-$74,999;2e3894fb8ce804d9598fe3ff558a6e29;2016-11-20T00:40:11.000Z;female;2016-11-20T01:57:20.260Z;1;single
1989;Less than $10,000;36b75241780a9d09fcebc6b0dc8b310c;2016-11-20T01:25:11.000Z;male;2016-11-20T01:38:14.965Z;2;single
1993;$60,000-$74,999;a73d2785ce7bc33f8b0621760bbf635b;2016-11-20T01:10:15.000Z;male;2016-11-20T01:17:58.934Z;5+;single
1982;$75,000-$99,999;7be712ac0e517a55e424a334ab14974b;2016-11-20T00:10:14.000Z;female;2016-11-20T01:12:37.018Z;1;single
1984;Less than $10,000;72d4b55a58ae4360fb5fbac9b5725d63;2016-11-20T00:55:14.000Z;male;2016-11-20T01:10:34.059Z;4;married
1994;$75,000-$99,999;5cd16d95399669c300fa8b8caf174d3f;2016-11-20T00:25:14.000Z;male;2016-11-20T00:35:46.719Z;4;single
1980;$15,000-$24,999;4acd88e6fd3bfbfab88842df7ebbca41;2016-11-19T23:10:11.000Z;female;2016-11-19T23:59:33.574Z;3;single
1992;$60,000-$74,999;767f43ed48b8acd543036891aeb2e0fe;2016-11-19T23:25:11.000Z;male;2016-11-19T23:59:27.519Z;2;single
1995;$15,000-$24,999;bcfdf4cd028cbf56b2dc6bfffd045a90;2016-11-19T23:55:12.000Z;male;2016-11-19T23:56:11.075Z;3;single
1982;$25,000-$39,999;40e4ec1fc44f45bc6c7e6fe3644621f1;2016-11-19T23:40:13.000Z;female;2016-11-19T23:40:50.293Z;2;married
1964;$10,000-$14,999;386620266378928661d9d70345e576b7;2016-11-19T22:55:14.000Z;female;2016-11-19T23:40:26.145Z;2;single
1981;$15,000-$24,999;838c76c1e1be0c9461657b5ac8d0e22f;2016-11-19T22:25:14.000Z;female;2016-11-19T23:28:09.283Z;3;single
1985;$100,000 or more;072dc55f1791fdf739567bd4e03655c0;2016-11-19T22:40:10.000Z;female;2016-11-19T23:26:29.837Z;2;married
1987;$40,000-$59,999;f50816d50dae9da01ab7edb104b9c195;2016-11-19T22:10:15.000Z;male;2016-11-19T22:40:23.190Z;1;single
1962;$40,000-$59,999;d28036be749b78eec01a993f8ab33d1c;2016-11-19T21:40:15.000Z;female;2016-11-19T22:27:33.365Z;2;single
1994;$25,000-$39,999;d42592f920538817d9eb477dc3f56d28;2016-11-19T21:55:22.000Z;male;2016-11-19T21:57:34.372Z;2;single
1973;$100,000 or more;b4d9e16a12ab7b61439577b30571f2e3;2016-11-19T20:55:12.000Z;male;2016-11-19T21:56:12.663Z;3;married
1965;$40,000-$59,999;62d62910e92f7f70e87091adb41788fa;2016-11-19T21:10:11.000Z;male;2016-11-19T21:49:39.717Z;2;married
1991;$25,000-$39,999;05818ff592e042f05dc8d4dff53833ca;2016-11-19T21:25:14.000Z;male;2016-11-19T21:27:59.429Z;1;single
